CeGe;Prog. Finan.;Objetivo;Hipertexto Objetivo;Memoria Objetivo
001141;46300;01;PROMOVER MODELOS DE COLABORACIÓN PARA FOMENTAR LA INNOVACIÓN Y EL DESARROLLO TECNOLOGICO MEDIANTE LA INTELIGENCIA ARTIFICIAL Y TECNOLOGÍAS AVANZADAS CON ORGANIZACIONES, EMPRESAS Y STARTUPS.;El crédito definitivo asignado a este objetivo del capítulo 4 fue de 490.000 euros, se reconocieron obligaciones por ese mismo importe, lo que supone una ejecución del 100%.  Se continúa trabajando en el proyecto Digital Innovation Hub in Artificial Intelligence for Sustainable Development Goals - AIR4S a través de un convenio de adhesión para impulsar el desarrollo de tecnologías basadas en la inteligencia artificial y robótica para la mejora de procesos, servicios y productos en el tejido empresarial y posicionar a la ciudad de Madrid a nivel internacional en el uso y adopción de las tecnologías disruptivas.  Integrado por 6 entidades y coordinado por la Universidad Politécnica de Madrid.  El Ayuntamiento de Madrid continúa participando en el proyecto europeo Horizon NextProcurement: plataforma abierta de contratación pública armonizada y enriquecida, para desarrollar herramientas de inteligencia artificial y de lenguaje natural para búsqueda de información relativa a la contratación pública. Forman parte del proyecto siete organismos y está coordinado por el Centro de Supercomputación de Barcelona.  En 2024 se afianza la colaboración con entidades y empresas que participan en la definición de actividades relacionadas con la inteligencia artificial y tecnologías disruptivas. Se lleva a cabo la tercera edición de los premios de Inteligencia Artificial y Tecnologías Avanzadas mediante una metodología de innovación abierta, a través de la cual, grandes empresas e instancias municipales proponen retos que son resueltos mediante proyectos tecnológicos de startups. Se proponen 12 retos y se seleccionan 12 soluciones de startups que reciben apoyo económico en forma de premio.  Se ha participado en eventos con entidades y organizaciones extranjeras promocionando los proyectos tecnológicos de startups madrileñas.
001141;46300;02;GESTIONAR Y EJECUTAR EL ENTORNO CONTROLADO DE PRUEBAS EN MATERIA DE INNOVACIÓN EN LA CIUDAD DE MADRID.;Durante el año 2024 no ha sido posible aprobar la ordenanza municipal del espacio controlado de pruebas (Sandbox), por motivos de índole administrativo. Esta circunstancia no ha permitido llevar a cabo las acciones previstas, entre las que encuentran las actividades de publicidad y eventos patrocinados, la puesta en marcha del contrato de gestión de la oficina del espacio controlado de pruebas, y la realización de convocatorias que permitan la aceptación de solicitudes de proyectos relacionados con esta actividad.
001141;46300;03;POTENCIAR LA INVESTIGACIÓN CIENTÍFICA Y TÉCNICA A TRAVÉS DE PREMIOS A LA INVESTIGACIÓN.;El crédito definitivo asignado a este objetivo fue de 264.000 euros, de distintas aplicaciones presupuestarias de los capítulos 2 y 4. Se reconocieron obligaciones por importe de 194.352 euros lo que supone una ejecución del 73,6%.  En el año 2024 se desarrolla la cuarta edición de los Premios de Investigación Científica y Desarrollo Tecnológico Margarita Salas.  Los premios contaron con 575 candidaturas admitidas, concediéndose un total de 18 premios en las categorías de ciencias básicas, ciencias de la vida y tecnología aplicada.
001141;46300;04;FOMENTAR E IMPULSAR LA CREACIÓN DE UNA INDUSTRIA SÓLIDA Y COMPETITIVA EN EL ÁMBITO DEL SECTOR DEL VIDEOJUEGO, CONVIRTIENDO LA CIUDAD DE MADRID EN UN REFERENTE NACIONAL E INTERNACIONAL EN UNA INDUSTRIA PLENAMENTE INNOVADORA Y CON UN ALTO COMPONENTE TECNOLÓGICO QUE GENERA EMPLEOS DE CALIDAD.;El crédito definitivo asignado a este objetivo fue de 8.037.743 euros, de distintas aplicaciones presupuestarias de los capítulos 2,4 y 6. Se reconocieron obligaciones por el mismo importe siendo su grado de ejecución del 100%.  En capítulo 2 se han llevado a cabo acciones de mantenimiento, seguridad y jardinería de los pabellones que componen el Campus del Videojuego, así como los gastos derivados de la actividad de gestión de dicho Campus, que incluye acciones de apoyo al emprendimiento, formativas, difusión y promoción internacional, organización de ligas municipales de eSports y otros eventos.  En capítulo 4 se incluye la aportación económica a la asociación Clúster de Industrias Creativas y Videojuegos de Madrid, integrada por organizaciones públicas y privadas, para la promoción del videojuego.  En capítulo 6 se han realizado obras para la mejora de los edificios del Campus en materias de seguridad, adecuación y climatización de los espacios.
001141;91217;01;DIRIGIR E IMPULSAR LAS POLÍTICAS MUNICIPALES EN MATERIA DE INNOVACIÓN Y EMPRENDIMIENTO DEL AYUNTAMIENTO DE MADRID;Los objetivos del Área Delegada se han centrado en las tareas de dirección e impulso de las políticas municipales en materia de innovación y emprendimiento, dentro del ámbito de las competencias recogidas en el Acuerdo de 29 de junio de 2023 de la Junta de Gobierno de la Ciudad de Madrid, de organización y competencias del Área de Gobierno de Economía, Innovación y Hacienda.  Para el cumplimiento de los objetivos del programa, se incluyeron las asignaciones a los miembros de la corporación, secretarías y personal asesor y administrativo, dentro del capítulo 1, cuya gestión corresponde al Área Delegada. Los créditos definitivos asignados a este capítulo de gasto ascendieron a 487.170 euros y se reconocieron obligaciones por importe de 357.998 euros, lo que supone una ejecución del 73,5 por ciento.  Por lo que respecta a los gastos del capítulo 2, subconcepto 226.01 'atenciones protocolarias y representativas', en 2024 se dotaron créditos para estos fines por importe de 4.500 euros, y se han reconocido obligaciones por importe de 2.654 euros, lo que representa un porcentaje del 59 por ciento.
001150;13301;01;Gestionar la circulación de vehículos y peatones compatibilizándola con la actividad cultural, mediante la tramitación de las solicitudes de autorización de rodajes de películas y similares.;La ligera disminución en el valor conseguido del indicador respecto del previsto se debe a las mayores denegaciones de permisos a causa de las quejas vecinales y las zonas de uso intensivo.
001150;13301;02;Facilitar la movilidad a las personas con movilidad reducida mediante la concesión de autorizaciones de estacionamiento que le son reservadas.;El presente objetivo se ha cumplido de forma satisfactoria ya que las oscilaciones no dependen de la gestión sino de las solicitudes presentadas.
001150;13301;03;Mejorar la circulación de vehículos y peatones mediante la gestión de las solicitudes de autorización de circulación de vehículos que transporten mercancías peligrosas.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13301;04;Compatibilizar la ejecución de mudanzas con la circulación de vehículos y personas, mediante la gestión de las solicitudes de autorización anual e inscripción en el Registro Municipal de Empresas de Mudanzas.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13301;05;Mejorar la gestión de la circulación de vehículos y peatones mediante la tramitación de las autorizaciones para circulación de camiones de más de dieciocho toneladas y vehículos de transporte especial.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13301;06;Evitar la acumulación de vehículos estacionados por un período superior a un mes en el mismo lugar y que presenten desperfectos que impidan su desplazamiento por sus propios medios, mediante la orden de traslado a un Centro Autorizado de Tratamiento de Vehículos para su posterior destrucción y descontaminación.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13301;07;Mejora de la calidad del servicio prestado en las Ocupaciones de la Vía Pública.;No se han alcanzado las previsiones al haber tenido una disminución importante en el número de Agentes de Movilidad que han promocionado a Policía Municipal, dificultando la cobertura del servicio prevista inicialmente.
001150;13301;08;Mejorar las condiciones laborales del personal que presta servicios de Administración General en la Dirección General de Gestión y Vigilancia de la Circulación.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13301;09;Mantener el ámbito de actuación de los Agentes de Movilidad cubriendo todos los cruces e intersecciones relevantes en el interior de la M-30.;No se han alcanzado las previsiones al haber tenido una disminución importante en el número de Agentes de Movilidad que han promocionado a Policía Municipal, dificultando la cobertura del servicio prevista inicialmente.
001150;13301;10;Potenciar los sistemas de vigilancia de la disciplina Viaria y de la Seguridad Vial con el objetivo de disminuir el número de denuncias por las mejoras del comportamiento de la ciudadanía y contribuir a las mejoras ambientales de la ciudad para conseguir una movilidad sostenible.;El presente objetivo se ha alcanzado con carácter general de forma satisfactoria conforme a criterios de eficiencia. Aquellos indicadores en los que no se han alcanzado las previsiones se debe a que habido una disminución importante en el número de Agentes de Movilidad que han promocionado a Policía Municipal, dificultando la cobertura del servicio prevista inicialmente.
001150;13301;11;Incrementar la participación en los Servicios Especiales y extraordinarios, especialmente aquellos que se realicen de forma autónoma y mantener los que se tengan en coordinación con Policía Municipal.;No se han alcanzado las previsiones al haber tenido una disminución importante en el número de Agentes de Movilidad que han promocionado a Policía Municipal, dificultando la cobertura del servicio prevista inicialmente.
001150;13301;12;Mejora de la calidad del servicio prestado por los Agentes de Movilidad mediante la provisión de los recursos necesarios para los Agentes de Movilidad en el ejercicio de sus funciones.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia. En el caso de los indicadores 4 y 5 no se han alcanzado las previsiones al haber tenido una disminución importante en el número de Agentes de Movilidad que han promocionado a Policía Municipal, dificultando la cobertura del servicio prevista inicialmente.
001150;13301;13;Mejora de la calidad de servicio prestado en las Ocupaciones de la Vía Pública.;No se han alcanzado las previsiones de los tres primeros indicadores al haber tenido una disminución importante en el número de Agentes de Movilidad que han promocionado a Policía Municipal, dificultando la cobertura del servicio prevista inicialmente.
001150;13301;14;Mejorar la atención al ciudadano en materia del multas de circulación mediante el incremento de la eficiencia de los servicios de cita previa, atención telefónica, presencial y por correo electrónico.;El presente objetivo se ha alcanzado de forma satisfactoria. En aquellos indicadores en los que no se ha alcanzado el valor previsto, es preciso señalar que se ha respondido bajo criterios de eficiencia lo máximo posible.
001150;13301;15;Fomentar la disciplina viaria mediante la gestión eficaz de los expedientes sancionadores por infracciones de tráfico en las vías urbanas de la ciudad de Madrid.;Se han tramitado todas las denuncias, alegaciones, identificaciones y recursos recibidos bajo criterios de eficiencia.
001150;13301;16;Mejorar las características ambientales en la prestación del servicio del taxi.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13301;17;Proporcionar la información necesaria sobre el servicio del taxi a usuarios y profesionales.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13301;18;Actualización del conocimiento de la Gestión y Explotación del Taxi.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13301;19;Gestión eficaz y eficiente del examen para la obtención del permiso municipal de conductor de autotaxi.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13301;20;Gestión eficaz y eficiente en la tramitación de los expedientes relacionados con la prestación del servicio del taxi.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia. Aquellos indicadores en los que no se ha alcanzado el valor previsto (tarjetas de identificación, en el caso de hombres, así como transmisión de licencias y sustitución de vehículos) hay que indicar que se han atendido o tramitado todas las solicitadas. Además en varios de ellos se ha alcanzado un valor muy próximo al previsto.
001150;13301;21;Mejorar la gestión de los expedientes sancionadores relacionados con la prestación del servicio de autotaxi.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13301;22;Renovación de los equipos de regulación destinados a promover y facilitar la movilidad de colectivos específicos.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13301;23;Nuevas instalaciones y renovación de infraestructuras de regulación y gestión del tráfico.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13301;24;Mejora de la Gestión de la Información al ciudadano sobre la circulación y el tráfico a través de la innovación tecnológica.;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13301;25;Mejorar la inspección de vehículos autotaxi.;No se pudo alcanzar el valor previsto en el indicador debido a que se quedó desierto el contrato para realizar las revisiones.
001150;13302;01;Ejecución de proyectos de reparación y mantenimiento de los aparcamientos públicos de rotación, mixtos y de residentes.;El mantenimiento y la mejora constante de las infraestructuras de los aparcamientos municipales, ejecutando las reparaciones necesarias, y fomentando el cumplimiento de la accesibilidad, entre otros.  Para ello, se han ejecutado un total de 18 actuaciones que contemplan proyectos de reparación y mantenimiento en los aparcamientos públicos durante el ejercicio 2024.
001150;13302;02;Plan de Inspecciones de los aparcamientos municipales.;El mantenimiento y la mejora constante de las infraestructuras de los aparcamientos municipales, realizando las ITES e inspecciones.  Se han llevado a cabo 36 Inspecciones Técnicas de los Edificios y se han realizado un total de 123 inspecciones de oficio incluyendo en algunos de ellos el estudio de patologías.
001150;13302;03;Planificación de nuevos aparcamientos municipales.;La planificación de nuevos aparcamientos, realizando estudios donde se define su viabilidad técnica y económica, sus características funcionales y su ubicación, analizando y delimitando sus áreas de influencia.
001150;13302;04;Aparcamiento robotizado de Alameda y Plan de mantenimiento y nuevo uso. ;Se ha redactado un proyecto para la reparación del robot y ejecución de obra para dar cumplimiento a los requisitos y normativa actuales.
001150;13302;05;Proyectos de aparcamientos existentes y nuevos;En las concesiones que han ido finalizando se han redactado los proyectos y se han licitado las nuevas concesiones<(>,<)> iniciándose las obras.
001150;13302;06;Ejecución de obras en aparcamiento Artilleros para su explotación;Las obras del aparcamiento de Paseo de los Artilleros (Vicálvaro) finalizaron el 6 de julio de 2024.  El 24 de septiembre de 2024 fue aprobado por el Pleno del Ayuntamiento la gestión directa del servicio público del aparcamiento por parte de EMT.
001150;13302;07;Plan de Mejora de la información sobre la ocupación de los aparcamientos del centro de Madrid.;A través de un sistema de paneles de mensaje variable en las principales entradas al Distrito Centro, donde se ofrece información sobre la oferta en tiempo real de plazas vacantes en los aparcamientos situados en la Zona de Bajas Emisiones de Especial Protección Madrid Distrito Centro en los 17 paneles.  Se formalizó el nuevo contrato el 13 de agosto de 2024.
001150;13302;08;Tramitación de solicitudes de cesión del derecho de uso de plazas en aparcamientos públicos destinado a residentes. ;Se han llevado a cabo las siguientes actuaciones:  - Tramitación de expedientes de cesión del derecho de uso de las plazas de aparcamientos municipales de residentes, tanto cesiones directas como cesiones a lista de espera. - Tramitación de las renuncias tanto de los titulares del derecho de uso de las plazas como de los cesionarios propuestos en los expedientes de cambios de titularidad. - Tramitación de expedientes de usos indebidos y de extinción el derecho de uso de las plazas de residentes. - Tramitación de expedientes de regularización de titularidad del derecho de uso de las plazas de aparcamientos municipales de residentes. - Modernización y mejora de los procedimientos de tramitación de expedientes, con adaptación a la nueva normativa y a las necesidades de los ciudadanos.
001150;13302;09;Actuaciones relacionadas con las concesiones administrativas en materia de aparcamientos de residentes, rotacionales, mixtos y disuasorios.;Se han realizado actuaciones adicionales en las concesiones administrativas, entre las que pueden citarse:  - En aparcamientos de residentes, expedición de certificados de titularidad del derecho de uso de las plazas a solicitud de los interesados, y valoración actualizada del derecho de uso. - Información al público, tanto presencial como telefónica, en materia de aparcamientos municipales, con una plantilla media de 11 trabajadores. - Tramitación de expedientes de gestión directa de aparcamientos municipales. Tramitación de expedientes de reequilibrio económico de las concesiones. - Tramitación de expedientes de licitación de concesiones de aparcamientos municipales. - Gestión y expedición de cánones concesionales. - Adaptación de las áreas de influencia de los aparcamientos. - Tramitación de expedientes ante Juzgados.
001150;13360;01;IMPLANTACIÓN DE MADRID ZBE. AÑO 2023;El presente objetivo se ha alcanzado de forma satisfactoria conforme a criterios de eficiencia.
001150;13402;01;Realización de estudios y emisión de informes para fomentar la movilidad sostenible, dando respuesta tanto a solicitudes ciudadanas como a las distintas situaciones que puedan producirse en relación con la movilidad.;En 2024 se han dado de alta más de 1604 expedientes de solicitudes de informe y se ha dado respuesta técnica a 1043.  Se ha cumplido, por tanto, el objetivo de la realización de estudios y emisión de informes para fomentar la movilidad sostenible.
001150;13402;02;CONVENIO BUS VAO A-2. reservar para autobuses y VAO el carril izquierdo de la calzada de la autovía A-2, estableciendo en el caso del carril de entrada un número reducido de puntos de embarque para que los autobuses y VAO accedan a dicho carril y se mantengan dentro de él hasta el extremo final en Madrid, o en el caso del carril de salida estableciendo unos puntos concretos de embarque y desembarque igualmente para autobuses y VAO.;En 2024 se ha realizado la aportación acordada en relación con el Convenio para la adaptación del carril izquierdo de la Autovía A-2 como carril BUS-VAO, en ambos sentidos, que fue suscrito el 21 de octubre de 2019 y modificado a través de Adendas de 22 de septiembre de 2021 y 21 de julio de 2023.
001150;13402;03;CUOTA AÑO 2024 de la Asociación Española de la Carretera. AEC;El ayuntamiento de Madrid forma parte de la Asociación Española de la Carretera, por lo que tiene el compromiso de pagar una cuota anual.  Se ha cumplido el objetivo.
001150;13402;04;CUOTA AÑO 2024. Red de Ciudades por la Bicicleta;El ayuntamiento de Madrid forma parte de la Red de Ciudades por la Bicicleta, por lo que tiene el compromiso de pagar una cuota anual.  Se ha cumplido el objetivo.
001150;13404;01;Gestión sostenible en materia de movilidad de los servicios de estacionamiento regulado, los accesos a áreas y vías restringidas, la gestión de vallas y la señalización vial incluida dentro del Contrato Integral de Movilidad.;La variación en el número de plazas de estacionamiento regulado se debe a la implantación del servicio en nuevos ámbitos y necesidades de ordenación viaria, ya que se han producido aumentos y reducciones del número de plazas como consecuencia de la realización de nuevos viales, nuevas zonas de titularidad municipal, y/o reducciones de plazas por peatonalización de nuevas zonas, reordenación de calzadas y ampliación de aceras, así como la instalación de nuevas reservas de estacionamiento, para personas con movilidad reducida, organismos oficiales, hoteles, hospitales, etc., siempre que estas comprendan todo el horario del Servicio de Estacionamiento Regulado (en adelante SER).  La gestión de la ZBEDEP Distrito Centro supone un total de 115 cámaras. Por modificación contractual formalizada el 4/11/2021 se introdujo la gestión de la ZBEDEP 'Plaza Elíptica' con un total de 25 cámaras. También se realiza por videovigilancia el control del carril bus de O'Donnell, entre la M-23 y la calle del Doctor Esquerdo, mediante una cámara. En resumen, asciende el número total de cámaras de control de accesos a áreas y vías restringidas a 141.  En cuanto a las actividades que se han efectuado a lo largo del ejercicio son:  A),,Actualización permanente del inventario de plazas de estacionamiento regulado por barrios como herramienta que permite la planificación de las zonas reguladas existentes, así como la planificación de futuras ampliaciones o modificaciones de las mismas.  B),,Inspecciones del funcionamiento de los expendedores de tiques como garantía de la correcta gestión del servicio y de su uso por parte de los ciudadanos.  C),,Control de vigilancia del estacionamiento por medio de vehículos y personal controlador. Este control garantiza el uso eficiente del estacionamiento como medida de impulso para la movilidad sostenible mediante la regulación del estacionamiento en destino.  D),,Tramitación de autorizaciones del servicio de estacionamiento regulado. Suponen un total de autorizaciones aproximado de 281.812 entre los diferentes tipos de residentes y colectivos cualificados.  E),,Gestión de la recaudación de la Tasa por Estacionamiento de Vehículos en determinadas zonas de la capital, en sus dos vertientes, estacionamientos puntuales vía sistema de parquímetros, y recaudación por tasas de autorizaciones temporales de residentes y colectivos cualificados. Supuso en el ejercicio presupuestario de 2024 un importe total recaudado de 75.181.683,52 euros.  F),,Gestión y conservación de los sistemas de control de accesos en las AAyVR (ZBEDEP Distrito Centro, O´Donnell y ZBEDEP Plaza Elíptica). Las limitaciones de acceso a determinadas zonas de la ciudad garantizan la movilidad sostenible y permiten impulsar los objetivos del Plan de Calidad de Aire y de la Estrategia de Sostenibilidad Ambiental Madrid 360.  G),,Gestión del servicio de movimientos de vallas, tanto de transporte como de despliegue, de los actos públicos sin ánimo de lucro realizados en vía pública o dentro de recintos de titularidad municipal.  H),,Trabajos de suministro, transporte, instalación, conservación y revisión de la señalización vial, destinada a advertir o informar a los usuarios de las vías públicas de titularidad municipal y a regular y ordenar su comportamiento, así como de otros elementos normalizados, como placas de calle y carteles indicativos en parques.  I),,Elaboración de un Plan Director de Señalización Peatonal. Este plan se está desarrollando bajo la responsabilidad de la Dirección General de Patrimonio Cultural y Paisaje Urbano.
001150;13404;02;Gestión sostenible en materia de movilidad ciclista a través del servicio público de alquiler de bicicleta eléctrica.;Debe tenerse presente que la previsión de 2024 se corresponde con la previsión realizada para el presupuesto 2022 que fue prorrogado en el año 2023. Sin embargo, este objetivo no debía existir en 2024 en el seno del programa 134.04, ya que con fecha 31/10/2022 se procedió a la resolución parcial del contrato del Lote 5 en todo aquello que afectaba al servicio público de bicicleta. Con fecha 01/11/2022 se encomendó la gestión directa del servicio a la EMT. Por tanto, a partir de dicha fecha, el desarrollo del servicio no depende de este programa presupuestario.  No obstante, podemos concluir que se cumplió el objetivo y que la actividad de impulso para incrementar la movilidad ciclista a través del servicio de alquiler de bicicleta pública se cumplirá de modo más efectivo con el nuevo sistema de gestión.
001150;13460;01;MEJORAR LA GESTIÓN Y PLANIFICACIÓN DE LAS INFRAESTRUCTURAS VIARIAS MEDIANTE UN CONTROL DE LOS PARÁMETROS QUE INTERVIENEN EN LA MOVILIDAD (INTENSIDADES DE LOS VEHÍCULOS, MOVIMIENTOS Y VELOCIDADES DE CIRCULACIÓN).;En el objetivo fijado, se ha alcanzado el 100% de ejecución.
001150;15101;01;INSTRUMENTOS DE PLANEAMIENTO URBANÍSTICO GENERAL. ;"En relación con el indicador 1, modificaciones de Plan General, han tenido lugar las siguientes:  - Sobre las ubicaciones o aspectos siguientes: Redelimitación del Sistema General del Aeropuerto Adolfo Suarez Madrid-Barajas; Ampliación del catálogo de edificios protegidos. Arquitectura popular Neomudéjar; Para la protección y mejora del uso residencial; Paseo de la Ermita del Santo, 48; APE 13.11 Tubos Borondo; Alcalá Galiano 1; Guadalajara, 25 (Campo de las Naciones-avenida de los Andes); Avenida de la Guardia, 21; Avenida de Andalucía (SAMAR Thyssen); Duque de Pastrana, 4: Alcalá Galiano, 8; Embajadores, 462; Pintor Moreno Carbonero, 17; UNS 04.03 Nueva Centralidad del Este; Retama, 8 (Méndez Alvaro-Retama API 02.12 Estación Sur); Alcázar de San Juan, Santa Aurea, Magín Calvo y Paseo de los Jesuitas; Arturo Soria, 82 (Hospital del Aire); Goya, 90 (Palacio de los Deportes); Serrano, 69 (Consorcio de Seguros); Cuevas del Valle.  - Modificaciones de Plan General no sustanciales sobre las ubicaciones o aspectos siguientes: San Lorenzo, 6, 8 y 10; Maria de Molina, 42; Hacienda, 1 y Sopelana, 15 y 15D.  - Correcciones de error material sobre las ubicaciones o aspectos siguientes: Fernández Caro, 17 y 19, Misterios, 68 y 68B y Juan Pérez Zúñiga, 40 y 42; Cartagena, 99; Joaquín María López 2 y Escosura, 27; José Rodriguez Pinilla, 4; Navalmanzano, 7; Maestro Ripoll, 9; Cardenal Herrera Oria, 100; Francos Rodríguez, 55 y Navalmanzano, 9 y 11.  En cuanto al indicador 2, otros instrumentos de planeamiento, estarían las condiciones adicionales y definición de los ámbitos territoriales para la aplicación en el municipio de Madrid de la Ley 3/2024, de 28 de junio, de medidas urbanísticas para la promoción de vivienda protegida de la Comunidad de Madrid."
001150;15101;02;PLANEAMIENTO URBANÍSTICO DE DESARROLLO. ;"En cuanto al primer indicador, Planes especiales, se han realizado sobre las ubicaciones o aspectos siguientes: mejora de Redes Públicas en el AOE 00.08/M 'Parque Olímpico-Sector Oeste'; fomento de cubiertas verdes en edificios construidos; protección del BIC Casa de Campo; MercaMadrid; Parque Ferial Juan Carlos I y su entorno (IFEMA); APR 10.01 La Medina; Amor de Dios, 6; Plaza Canalejas, 3, Príncipe, 1 y Carrera San Jerónimo, 24 (Teatro Canalejas); Velázquez, 21; Pico Mampodre, 6; Mayor, 4; Doctor  Esquerdo, 138; Nuestra Señora de Valverde, 181, 183, 185 y 187; Emilio Mario, 18; Velacho Bajo, 4B y Trinquete, 20; San Gerardo, 11B; Cádiz, 3; San Marcos, 8; APR 05.08 Canal Plaza de Castilla; Santa Ana, 6; Roma, 14; Bahía de Cartagena, 1 (Los Coronales UZI.0.02); Carmen, 23  Preciados, 22; Estadio de Vallehermoso; Preciados, 10; Bravo Murillo, 334; Ronda de Segovia, 95 (Parque de Bomberos); Macarena, 8; Carmen, 4; avenida Complutense, 40 (CIEMAT); Serrano, 179 (Embajada del Reino de Marruecos); avenida del Padre Huidobro, km. 10; avenida Alfonso XIII, 186; Alberto Aguilera, 11; Cava Baja, 34; Fernando el Santo, 12 y 14; Arenal, 9; avenida del Mediterráneo, 3; Bravo Murillo, 122 (Mercado Maravillas); Cava de San Miguel, 9 c/v Plaza Mayor, 19-20; Conde de Vilches, 16; Club de Campo; Maestro Victoria, 8; Orellana, 1; Paseo de la Castellana, 62; San Mateo, 25 (PE del Palacio de los Condes de Villagonzalo); Pelayo, 55; Vizconde de Matamala, 3; Aránzazu, 4; avenida Daroca, 104-106; Carmen, 26; Ruiz de Alarcón, 5; Plaza de España, 8; Fuencarral, 6; Eloy Gonzalo, 3 y 5; Carlos y Guillermo Fernández Shaw, 3 y 5; avenida de América, 37 (Torres Blancas); Marqués de Riscal, 12; Maestro Victoria, 6; Plaza Conde de Miranda, 1; Hileras, 4; Pintor Rosales, 34; Alcalá, 17; Carretera de El Pardo, 25 (Instituto Llorente); Marqués de Villamejor, 5; Noviciado, 7 y 9; San Bernardo, 41; Gran Vía, 18; San Germán, 31; Alcalá, 21; San Pedro, 3 c/v a Verónica, 11; Jorge Juan, 55; Gran Vía, 20; Méjico, 53; Fernández Caro, 7-7B; Ronda de Atocha, 37; avenida Menéndez Pelayo, 6; Briones, 40; Carretera Vicálvaro a la Estación de O'Donnell, 23 y 25; Paseo de la Habana, 63; Echegaray, 6; avenida de América, 41; Doctor Cortezo, 9; Toledo, 98; Hortaleza, 39; Brujas, 28; Rafael Botí, 30; Sinfonía, 14 c/v Poema Sinfónico; Murcia, 6; Raimundo Fernández Villaverde, 41; Asura, 111; Fernando VI, 6; Plaza de Duque de Pastrana, 6; San Roque, 14; General Pardiñas s/n (frente a núms 67 a 71); Alcántara, 59; avenida Cardenal Herrera Oria, 55; San Modesto, 50 (Hospital Ramón y Cajal); Princesa, 22 y 24; Allendesalazar, 2; Pintor Moreno Carbonero, 17; Amara, 4 y 6; avenida de Miraflores, 1; Carretas, 8; Valverde, 41 y Reyes, 14 (Cantón). Modificación del Plan Especial APR 05.08 'Canal - Pza. de Castilla'; Rectificación del error material en el PE de incremento y mejora de Redes Públicas en Barrios de Promoción Pública.  Por lo que se refiere al segundo indicador, Planes Parciales, han tenido lugar sobre las ubicaciones o aspectos siguientes: UZP 02.04 Berrocales; PPRI APR 16.02 Los Almendros M-40; Modificación del PP Desarrollo del Este-El Cañaveral.  Por último, se han realizado Estudios de Detalle sobre las siguientes ubicaciones: Los Yébenes, 245; Valdepeñas, 3; Augusto Figueroa, 45 (Cantón); Conde de Cartagena, 13 (Cantón); avenida de los Poblados, 151; Sopelana, 15D y 15; Fuente del Rey, 11; La Masó, 93 B; Nadir, 21; Santa Hortensia, 26; Ciclón, 40; Domenico Scarlatti, 6; Bellatrix, 21; Somontes, 16; Poniente, 18; Nanclares de Oca, 5; Luis de la Mata, 24; Julián Camarillo, 56; Loma, 1; Valle de Laciana, 19; Teresa Orozco, 12 y 14; avenida Fuentelarreyna, 12 y 14; Max Aub, 4, 6 y 8; Islas Marshall, 38; María Reiche 34, (CEIP Nuria Espert); Camino del Barrial, 40; Marquesinas Club de Campo; Portillo del Pardo, 12-14; Leandro Silva, 10. Parcela EQ-089; Aquitania, 2; Navalmanzano, 11. Modificaciones de los Estudios de Detalle en las siguientes ubicaciones: Carretera de Castilla, 18; Portillo de El Pardo, 12 y 14; José Bastos, 75; Carmen Rico Godoy, 96 a 112; Peguerinos, 31-37; parcela delimitada por las calles Madre Cándida María de Jesús, 4, Hijas de Jesús y Porta Coeli."
