Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real;
;;001;151;16001;60916;2023/001348;2023/011348;FUENTES BEBEDERO EN EL DISTRITO ARGANZUELA. INSTALACIÓN;202;ARGANZUELA;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;1310,44;1310,44;0;0;1310,44;1310,44;412,89;0;412,89;
;;001;151;16001;60916;2023/001348;2023/021348;FUENTES BEBEDERO EN EL DISTRITO CHAMARTÍN. INSTALACIÓN;205;CHAMARTIN;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;808,85;808,85;0;0;808,85;808,85;254,35;0;254,35;
;;001;151;16001;60916;2023/001348;2023/031348;FUENTES BEBEDERO EN EL DISTRITO TETUÁN. INSTALACIÓN;206;TETUAN;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;473,6;473,6;0;0;473,6;473,6;149,22;0;149,22;
;;001;151;16001;60916;2023/001348;2023/051348;FUENTES BEBEDERO EN EL DISTRITO FUENCARRAL-EL PARDO. INSTALACIÓN;208;FUENCARRAL-EL PARDO;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;2225,15;2225,15;0;0;2225,15;2225,15;701,1;0;701,1;
;;001;151;16001;60916;2023/001348;2023/061348;FUENTES BEBEDERO EN EL DISTRITO MONCLOA-ARAVACA. INSTALACIÓN;209;MONCLOA-ARAVACA;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;635,55;635,55;0;0;635,55;635,55;200,24;0;200,24;
;;001;151;16001;60916;2023/001348;2023/071348;FUENTES BEBEDERO EN EL DISTRITO LATINA. INSTALACIÓN;210;LATINA;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;1431,93;1431,93;0;0;1431,93;1431,93;451,16;0;451,16;
;;001;151;16001;60916;2023/001348;2023/081348;FUENTES BEBEDERO EN EL DISTRITO CARABANCHEL. INSTALACIÓN;211;CARABANCHEL;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;1083,83;1083,83;0;0;1083,83;1083,83;341,49;0;341,49;
;;001;151;16001;60916;2023/001348;2023/091348;FUENTES BEBEDERO EN EL DISTRITO USERA. INSTALACIÓN;212;USERA;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;708,47;708,47;0;0;708,47;708,47;223,22;0;223,22;
;;001;151;16001;60916;2023/001348;2023/101348;FUENTES BEBEDERO EN EL DISTRITO PUENTE DE VALLECAS. INSTALACIÓN;213;PUENTE DE VALLECAS;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;1831,6;1831,6;0;0;1831,6;1831,6;577,1;0;577,1;
;;001;151;16001;60916;2023/001348;2023/111348;FUENTES BEBEDERO EN EL DISTRITO CIUDAD LINEAL. INSTALACIÓN;215;CIUDAD LINEAL;09;MEDIO AMBIENTE;02;FUENTES Y ESTANQUES;;;;;;;0;921,17;921,17;0;0;921,17;921,17;290,24;0;290,24;
